"Lineage for Asset:"
"swaggerjsonlogical","os-limits V1","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/c9780f95-2ab1-4101-a851-61030c5a2aee"
"Upstream(calledBy)"
"Source Type","Source Asset","Source Context","Source URL","Target Type","Target Asset","Target Context","Target URL"
"swaggerjsonlogical","os-limits V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/c9780f95-2ab1-4101-a851-61030c5a2aee","swaggerjsonlogical","OS-KSVALIDATE-admin V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/e3f47084-c749-4845-a2f9-06d0a6360b92"
"swaggerjsonlogical","OS-KSVALIDATE-admin V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/e3f47084-c749-4845-a2f9-06d0a6360b92","swaggerjsonlogical","os-keypairs V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/ed5e02ed-de00-484e-a7de-70678f7a7ee9"
"swaggerjsonlogical","os-keypairs V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/ed5e02ed-de00-484e-a7de-70678f7a7ee9","swaggerjsonlogical","os-instance-usage-audit-log-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/f9193148-53bd-4da9-a8d5-c587b0331bc0"
"swaggerjsonlogical","os-instance-usage-audit-log-v2.1 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/f9193148-53bd-4da9-a8d5-c587b0331bc0","swaggerjsonlogical","os-instance-actions-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/86171ab7-b3c6-4018-9fdb-345b9b99fa58"
"swaggerjsonlogical","os-instance-actions-v2.1 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/86171ab7-b3c6-4018-9fdb-345b9b99fa58","swaggerjsonlogical","OS-KSCATALOG-admin V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/1ec4c6eb-1ad2-4daf-a4ba-1c16348e0dfa"
"swaggerjsonlogical","OS-KSCATALOG-admin V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/1ec4c6eb-1ad2-4daf-a4ba-1c16348e0dfa","swaggerjsonlogical","os-image-v2 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/f12cb9e7-7ea3-4078-a3e0-8cbedb57bd42"
"swaggerjsonlogical","os-image-v2 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/f12cb9e7-7ea3-4078-a3e0-8cbedb57bd42","swaggerjsonlogical","os-flv-disabled V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/a99e80c8-b08a-40f8-8f09-4bf96836c029"
"swaggerjsonlogical","os-flv-disabled V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/a99e80c8-b08a-40f8-8f09-4bf96836c029","swaggerjsonlogical","os-hypervisors V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/4321df6b-b401-45da-9809-647662cede2b"
"swaggerjsonlogical","os-hypervisors V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/4321df6b-b401-45da-9809-647662cede2b","swaggerjsonlogical","os-hypervisors-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/45521aa3-8326-45ff-b07e-089c38979aa4"
"swaggerjsonlogical","os-hypervisors-v2.1 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/45521aa3-8326-45ff-b07e-089c38979aa4","swaggerjsonlogical","os-image-schemas-v2 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/57d9ba9f-ab6f-4de5-9f16-6fe33f106498"
"swaggerjsonlogical","os-image-schemas-v2 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/57d9ba9f-ab6f-4de5-9f16-6fe33f106498","swaggerjsonlogical","os-image-1.0 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/fd14574b-17bc-4106-914a-5453f708b754"
"swaggerjsonlogical","os-image-1.0 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/fd14574b-17bc-4106-914a-5453f708b754","swaggerjsonlogical","os-floating-ips V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/78cf1e34-81d7-4cde-8777-292102085dec"
"swaggerjsonlogical","os-floating-ips V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/78cf1e34-81d7-4cde-8777-292102085dec","swaggerjsonlogical","os-flavorspecs-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/d0a8b6db-c16a-46e4-9edc-d6f2531b1f2b"
"swaggerjsonlogical","os-flavorspecs-v2.1 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/d0a8b6db-c16a-46e4-9edc-d6f2531b1f2b","swaggerjsonlogical","os-flavormanage V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/6901ff57-66c6-4967-8514-d0d31cdef160"
"swaggerjsonlogical","os-flavormanage V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/6901ff57-66c6-4967-8514-d0d31cdef160","swaggerjsonlogical","os-floating-ips-bulk V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/9456ee54-de01-4446-9d97-41b312b4eb8d"
"swaggerjsonlogical","os-floating-ips-bulk V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/9456ee54-de01-4446-9d97-41b312b4eb8d","swaggerjsonlogical","os-floating-ip-pools V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/20a9c088-7213-40b3-a7c7-f1f54dec5eb9"
"swaggerjsonlogical","os-floating-ip-pools V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/20a9c088-7213-40b3-a7c7-f1f54dec5eb9","swaggerjsonlogical","os-flavor-manage-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/dccb7f7d-d631-4fbc-a685-9e975e2195dc"
"swaggerjsonlogical","os-flavor-manage-v2.1 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/dccb7f7d-d631-4fbc-a685-9e975e2195dc","swaggerjsonlogical","os-flavorextradata V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/80bce03a-558c-4ffc-8029-e49141bfc395"
"swaggerjsonlogical","os-flavorextradata V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/80bce03a-558c-4ffc-8029-e49141bfc395","swaggerjsonlogical","os-extended-availability-zone-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/2a84051c-b79c-4042-b219-d862d2e31332"
"swaggerjsonlogical","os-extended-availability-zone-v2.1 V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/2a84051c-b79c-4042-b219-d862d2e31332","swaggerjsonlogical","Swagger Petstore full with extensions V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/eaaea379-2212-4b66-8320-7898f11631d8"
"swaggerjsonlogical","Swagger Petstore full with extensions V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/eaaea379-2212-4b66-8320-7898f11631d8","swaggerjsonlogical","os-disk-config V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/d6c01e10-c2a3-42a5-9d5e-6ee016fc9867"
"swaggerjsonlogical","os-disk-config V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/d6c01e10-c2a3-42a5-9d5e-6ee016fc9867","swaggerjsonlogical","os-ext-ips V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/14d4595a-18ed-4e58-9f1d-c945eeb570b1"
"swaggerjsonlogical","os-ext-ips V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/14d4595a-18ed-4e58-9f1d-c945eeb570b1","swaggerjsonlogical","os-instance-actions V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/cb85d629-fef5-4674-95d1-3e3ab5fa6560"
"swaggerjsonlogical","os-instance-actions V1","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/cb85d629-fef5-4674-95d1-3e3ab5fa6560","swaggerjsonlogical","os-deferred-delete-v2.1 V1",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/df8a50f8-09c9-4e41-a1a9-c38b424d77e1/asset/9a95150a-c2c3-4816-a47b-f12f41be14c1"
